createTimeISO,text,Label
2025-08-26T07:06:2satu.000Z,hahahahah gua setuju dengan gen z yang mau childfree,Negatif
2025-07-26Tsatu0:58:24.000Z,"Saya lebih menghargai orang yang memilih childfree dibanding yang memiliki banyak anak namun tidak diurus, bahkan sampai meminjam uang ke sana-sini untuk membiayai anaknya atau menjadikan anaknya pengemis demi membantu ekonomi keluarga",Negatif
2025-08-23T22:44:57.000Z,"iya bener justru childfeee karna bisa mikir buat kedepannya bukan malah beranak tapi g bisa membeirkan yg terbaik buat anaknya,masih kecil disuruh kerja",Negatif
2025-08-23Tsatu0:satu0:43.000Z,childfree bukan hanya sekedar tidak bisa memenuhi dr segi ekonomi kak tapi juga karena kesiapan mental dari calon orang tua itu sendiri..,Negatif
2025-08-23T08:47:25.000Z,"aku mau banyak anak asal aku kaya raya, dan aku kasih setiap anak warisan 😁",Positif
2025-07-26T08:satu2:3satu.000Z,dari pertama kalimat Childfree viral. ga pernah sekalipun hujat. bagiku. setiap org punya suara masing2. selagi itu ga melanggar hukum negara & tidak merugikan yg lain. aman. itu jauh lebih baik. drpd trus melahirkan. tp dari anak pertama-terakhir gak dikasih hak semestinya. dan orang tua itu kuanggap fatal. berlindung dibalik kata kekurangan. tp ga pernah mikir sampe jauh. satu anakmu aja butuh haknya. tp dipaksa melakukan kewajiban,Negatif
2025-08-23T08:satusatu:satusatu.000Z,"ka aku juga tadinya childfree, anti bgt sama anak kecil punya ponakan aja ga mau aku dideketin ke apa sih, setelah nikah aku udh runding sm suami keluarga dan mertua mereka ok² ajaa, tapi allah kasih aku titipan masa mau nolak kak dan aku hamil tau nya pas usia kandungan 7bln, sedih takut campur adukk banget rasnya pas tau😭🙏",Positif
2025-07-26T08:04:44.000Z,"mau punya anak atau tidak itu pilihan. kalo kmu liat ada org yg milih ga mau punya anak, ya udah biarin aja. bukan urusanmu juga. tp klo kmu emang mau punya anak, pastikan kmu bisa biayain dan mencukupi anakmu. tp kalo kmu blom bisa nafkahi anakmu dan ga becus jadi org tua, jangan punya anak. kasihan anaknya, dia mungkin juga ga mau punya org tua kaya kamu",Negatif
2025-08-23T05:satu6:satu5.000Z,"setuju bgd...tp sial na kita hidup di antara manusia"" yg menormalisasi kan setelah nikah harus punya anak nyatanya kalo Uda Nikah yg ditanya kapan mau punya anak??? 😩",Negatif
2025-08-23T0satu:54:49.000Z,"Orang yang pantas dikritik adalah mereka yang memiliki banyak anak, tetapi tidak mampu mengurus semuanya dengan baik. Ketika anak-anaknya sudah besar, mereka justru dijadikan sebagai �dana darurat� satu sama lain",Negatif
2025-07-26Tsatu7:satu3:58.000Z,"setuju, daripada anak jadi korban mending childfree sihh",Negatif
2025-08-04T14:29:44.0,"Saya suka dengan pemikiran seperti ini, karena menunjukkan bahwa seseorang benar-benar berpikir panjang sebelum memutuskan untuk punya anak",Negatif
2025-06-03T15:09:1,Mari menormalisasikan perempuan yng memutuskan untuk childfree🔥,Negatif
2025-06-03T17:31:0,Aku tidak ingin mengorbankan diri hanya demi memiliki anak,Negatif
2025-06-03T15:16:3,"tubuhku milikku, jadi hormati keputusan mereka lah",Negatif
2025-06-04T07:42:43.000Z,childfree emang ngerugiin orang2 kah woy😭,Negatif
2025-06-03T10:29:50.0,"padahal badan² dia, orang lain yg repot😭😭😭 gue aja disuruh nambah anak lagi, biar ada anak cewe. lah kata gue mah ""Mon maap, gue mau urus anak gue dengan mental&finansial yg mantep"" kaya aja belom tentu hidup enak, apa lagi miskin😌😌😌",Negatif
2025-06-03T10:41:s,Setiap orang punya hak atas dirinya sendiri🥰,Negatif
2025-06-03T16:40:53.0,"kenapa sih pada maksa orang lain punya anak? itu hak dia, badan dia, setelah itu yang ngurus anak juga dia. Emang kalau org lain punya anak kehidupan kalian berubah, auto masuk surga, kan tidak? 😑",Negatif
2025-06-04T00:15:43.0,mending childfree daripada anaknya di bikin sengsara 😍,Negatif
2025-06-05T16:57:49.0,"her body her choise anjir, heran kok pada repot perkara satu perempuan mau childfree, dikira populasi bumi langsung punah kali",Negatif
2025-06-03T11:1,"aku ibu, aku punya anak, punya banyak strechmark badanku berubah... kalo ada wanita yg ga mau punya anak .... ya biarin aja badan2 dia. ☺️👍 mempunyai anak/tidak itu pilihan masing2",Positif
2025-06-04T07:05:00.000Z,"KALIAN TUH HARUSNYA BERSYUKUR ORANG ORANG PADA childfree, ENTAR ANAK KALIAN ITU GA BANYAK PESAING UNTUK MENDAPATKAN PEKERJAAN😂",Negatif
2025-06-03T14:04:4sat,Normalisasi menghormati pilihan perempuan yang memilih untuk childfree,Negatif
