createTimeISO,text,Label
2025-08-26T07:06:21.000Z,hahahahah gua setuju dengan gen z yang mau childfree,Positif
2025-07-26Tsatu0:58:24.000Z,"Saya lebih menghargai orang yang memilih childfree dibanding yang memiliki banyak anak namun tidak diurus, bahkan sampai meminjam uang ke sana-sini untuk membiayai anaknya atau menjadikan anaknya pengemis demi membantu ekonomi keluarga",Positif
2025-08-23T22:44:57.000Z,"iya bener justru childfeee karna bisa mikir buat kedepannya bukan malah beranak tapi g bisa membeirkan yg terbaik buat anaknya,masih kecil disuruh kerja",Positif
2025-08-23Tsatu0:satu0:43.000Z,childfree bukan hanya sekedar tidak bisa memenuhi dr segi ekonomi kak tapi juga karena kesiapan mental dari calon orang tua itu sendiri..,Positif
2025-08-23T08:47:25.000Z,"aku mau banyak anak asal aku kaya raya, dan aku kasih setiap anak warisan 😁",Negatif
2025-07-26T08:satu2:3satu.000Z,dari pertama kalimat Childfree viral. ga pernah sekalipun hujat. bagiku. setiap org punya suara masing2. selagi itu ga melanggar hukum negara & tidak merugikan yg lain. aman. itu jauh lebih baik. drpd trus melahirkan. tp dari anak pertama-terakhir gak dikasih hak semestinya. dan orang tua itu kuanggap fatal. berlindung dibalik kata kekurangan. tp ga pernah mikir sampe jauh. satu anakmu aja butuh haknya. tp dipaksa melakukan kewajiban,Positif
2025-08-23T08:satusatu:satusatu.000Z,"ka aku juga tadinya childfree, anti bgt sama anak kecil punya ponakan aja ga mau aku dideketin ke apa sih, setelah nikah aku udh runding sm suami keluarga dan mertua mereka ok² ajaa, tapi allah kasih aku titipan masa mau nolak kak dan aku hamil tau nya pas usia kandungan 7bln, sedih takut campur adukk banget rasnya pas tau😭🙏",Negatif
2025-07-26T08:04:44.000Z,"mau punya anak atau tidak itu pilihan. kalo kmu liat ada org yg milih ga mau punya anak, ya udah biarin aja. bukan urusanmu juga. tp klo kmu emang mau punya anak, pastikan kmu bisa biayain dan mencukupi anakmu. tp kalo kmu blom bisa nafkahi anakmu dan ga becus jadi org tua, jangan punya anak. kasihan anaknya, dia mungkin juga ga mau punya org tua kaya kamu",Positif
2025-08-23T05:satu6:satu5.000Z,"setuju bgd...tp sial na kita hidup di antara manusia"" yg menormalisasi kan setelah nikah harus punya anak nyatanya kalo Uda Nikah yg ditanya kapan mau punya anak??? 😩",Positif
2025-08-23T0satu:54:49.000Z,"Orang yang pantas dikritik adalah mereka yang memiliki banyak anak, tetapi tidak mampu mengurus semuanya dengan baik. Ketika anak-anaknya sudah besar, mereka justru dijadikan sebagai �dana darurat� satu sama lain",Positif
2025-07-26Tsatu7:satu3:58.000Z,"setuju, daripada anak jadi korban mending childfree sihh",Positif
2025-07-26T05:satu3:43.000Z,"bahkan aku berjanji pada diri sendiri,tua nanti ketika anak² sudah sukses,aku ga akan minta² ke anak,akan ku usahakan tua nanti tetap berpenghasilan agar tidak menyusahkan.",Negatif
2025-07-26T05:26:4satu.000Z,makasih kak udah mengusahakan yg terbaik untuk anak2nya❤️- SIN,Negatif
2025-07-26Tsatu3:satusatu:36.000Z,"aku lbh respect sm yg childfree drpd hidup pas2n tp anak banyak dgn embel2 banyak anak banyak rejeki tp menyengsarakan anak dgn ga ngasi kehidupan yg layak buat anak dan lg ketika anak dewasa menjadikan anak seperti sapi perah,anak dituntut balas budi atas semua yg udah ortu kasi ke anak dari lahir smpe gede pdhl yg mutusin mau punya anak atau ga adalah ortu😌",Positif
2025-02-satu8Tsatusatu:36:satusatu.000Z,"org yg punya kesadaran baik kaya gini pada childfree. sdngkn remaja2 ceroboh di desa dan di kota besar celup sana sini dan kebobolan, anaknya ga pnya sosok ortu yg baik 😢",Positif
2025-02-satu8Tsatu3:56:56.000Z,pemikiran kyak gini nih yg di sukai tuan maha besar rothschild,Negatif
2025-02-satu8Tsatu4:56:33.000Z,menciptakan pemikiran seperti ini secara ga langsung menyelamatkan bumi dari kerusakan yg berkelanjutan.,Positif
2025-02-satu8Tsatu3:05:09.000Z,"klau semua manusia berpikiran childfree,manusia punah",Negatif
2025-02-satu8Tsatu3:30:38.000Z,"berkembang biak itu penting, tapi kesadaran dan kedewasaan dalam berkeluarga itu jauh lebih penting",Positif
2025-02-satu8Tsatu0:satu3:56.000Z,"Keren pola pikirnya memahami kekurangan, karena balik lagi pilihan dan hak dia",Positif
2025-02-satu8Tsatu3:satusatu:33.000Z,ini jawaban orang yg coba menghibur diri ketika dia GK bisa punya anak..,Negatif
2025-02-satu8Tsatu3:satu4:00.000Z,"Pemikiran seperti itu menunjukkan kualitas sumber daya manusia yang rendah, karena orang yang menolak untuk memiliki anak dianggap tidak memahami tujuan hidup dan tanggung jawab sebagai manusia",Negatif
2025-08-satu4Tsatu0:5satu:45.000Z,kenapa pikiran gue skrng juga pengen childfree makanya bisa sampe sini🤧,Positif
2025-02-satu8Tsatu3:satusatu:satu7.000Z,"mungkin bagi orng childfree salah, tp bagi gw bahkan orng yg gamau nikah aja adalah pilihan bijak.
hidup ini penderitaan bro, ketika punya anak pendirataan ini selalu diwariskan",Positif
2025-02-satu8Tsatu2:53:39.000Z,"gua pengen childfree juga semua warisan gua di bikinin masjid , percuma punya anak lu kelaparan sama aja lu kayak kriminal",Positif
2025-02-satu9Tsatusatu:satu4:satu7.000Z,gua setuju dgn coach...karna punya anak itu..bukan berarti invest...anak itu tanggung jawab kita sampai mati..kasih pendidikan dan kehidupan yg baik dan layak.,Positif
2025-02-satu8Tsatu2:25:satu0.000Z,mending kayak coach justin dari pada orang yang tau ekonomi nya ga stabil malah bikin anak,Positif
2025-08-05T09:32:4satu.000Z,tapi manusia yang sempurna itu manusia yg punya keturunan ngk sih. meskipun manusia tdk ada yg sempurna yaa.,Negatif
2025-02-satu8Tsatu7:satu8:58.000Z,Mandul sih lebih tepatnya. childfree hanyalah rekasaya semata. 😅,Negatif
2025-08-04Tsatu4:29:44.000Z,"Saya suka dengan pemikiran seperti ini, karena menunjukkan bahwa seseorang benar-benar berpikir panjang sebelum memutuskan untuk punya anak",Positif
2025-06-03Tsatu5:09:satu2.000Z,Mari menormalisasikan perempuan yng memutuskan untuk childfree🔥,Positif
2025-06-03Tsatu7:3satu:04.000Z,Aku tidak ingin mengorbankan diri hanya demi memiliki anak,Positif
2025-06-03Tsatu5:satu6:33.000Z,"tubuhku milikku, jadi hormati keputusan mereka lah",Positif
2025-06-04T07:42:43.000Z,childfree emang ngerugiin orang2 kah woy😭,Positif
2025-06-03Tsatu0:29:50.000Z,"padahal badan² dia, orang lain yg repot😭😭😭 gue aja disuruh nambah anak lagi, biar ada anak cewe. lah kata gue mah ""Mon maap, gue mau urus anak gue dengan mental&finansial yg mantep"" kaya aja belom tentu hidup enak, apa lagi miskin😌😌😌",Positif
2025-06-03Tsatu0:4satu:satu9.000Z,Setiap orang punya hak atas dirinya sendiri🥰,Positif
