createTimeISO,text,Label
2025-08-26T07:06:21.0,hahahahah gua setuju dengan gen z yang mau childfree,Negatif
2025-07-26T10:58:24.0,"Saya lebih menghargai orang yang memilih childfree dibanding yang memiliki banyak anak namun tidak diurus, bahkan sampai meminjam uang ke sana-sini untuk membiayai anaknya atau menjadikan anaknya pengemis demi membantu ekonomi keluarga",Negatif
2025-08-23T22:44:57.000Z,"iya bener justru childfeee karna bisa mikir buat kedepannya bukan malah beranak tapi g bisa membeirkan yg terbaik buat anaknya,masih kecil disuruh kerja",Negatif
2025-08-23T10:10:4,childfree bukan hanya sekedar tidak bisa memenuhi dr segi ekonomi kak tapi juga karena kesiapan mental dari calon orang tua itu sendiri..,Negatif
2025-08-23T08:47:25.000Z,"aku mau banyak anak asal aku kaya raya, dan aku kasih setiap anak warisan 😁",Positif
2025-07-26T08:12:3sat,dari pertama kalimat Childfree viral. ga pernah sekalipun hujat. bagiku. setiap org punya suara masing2. selagi itu ga melanggar hukum negara & tidak merugikan yg lain. aman. itu jauh lebih baik. drpd trus melahirkan. tp dari anak pertama-terakhir gak dikasih hak semestinya. dan orang tua itu kuanggap fatal. berlindung dibalik kata kekurangan. tp ga pernah mikir sampe jauh. satu anakmu aja butuh haknya. tp dipaksa melakukan kewajiban,Negatif
2025-08-23T08:11:s,"ka aku juga tadinya childfree, anti bgt sama anak kecil punya ponakan aja ga mau aku dideketin ke apa sih, setelah nikah aku udh runding sm suami keluarga dan mertua mereka ok² ajaa, tapi allah kasih aku titipan masa mau nolak kak dan aku hamil tau nya pas usia kandungan 7bln, sedih takut campur adukk banget rasnya pas tau😭🙏",Positif
2025-07-26T08:04:44.000Z,"mau punya anak atau tidak itu pilihan. kalo kmu liat ada org yg milih ga mau punya anak, ya udah biarin aja. bukan urusanmu juga. tp klo kmu emang mau punya anak, pastikan kmu bisa biayain dan mencukupi anakmu. tp kalo kmu blom bisa nafkahi anakmu dan ga becus jadi org tua, jangan punya anak. kasihan anaknya, dia mungkin juga ga mau punya org tua kaya kamu",Negatif
2025-08-23T05:16:1,"setuju bgd...tp sial na kita hidup di antara manusia"" yg menormalisasi kan setelah nikah harus punya anak nyatanya kalo Uda Nikah yg ditanya kapan mau punya anak??? 😩",Negatif
2025-08-23T01:54:49.0,"Orang yang pantas dikritik adalah mereka yang memiliki banyak anak, tetapi tidak mampu mengurus semuanya dengan baik. Ketika anak-anaknya sudah besar, mereka justru dijadikan sebagai �dana darurat� satu sama lain",Negatif
2025-07-26T17:13:5,"setuju, daripada anak jadi korban mending childfree sihh",Negatif
2025-07-26T05:13:43.0,"bahkan aku berjanji pada diri sendiri,tua nanti ketika anak² sudah sukses,aku ga akan minta² ke anak,akan ku usahakan tua nanti tetap berpenghasilan agar tidak menyusahkan.",Positif
2025-07-26T05:26:41.0,makasih kak udah mengusahakan yg terbaik untuk anak2nya❤️- SIN,Positif
2025-07-26T13:1sat,"aku lbh respect sm yg childfree drpd hidup pas2n tp anak banyak dgn embel2 banyak anak banyak rejeki tp menyengsarakan anak dgn ga ngasi kehidupan yg layak buat anak dan lg ketika anak dewasa menjadikan anak seperti sapi perah,anak dituntut balas budi atas semua yg udah ortu kasi ke anak dari lahir smpe gede pdhl yg mutusin mau punya anak atau ga adalah ortu😌",Negatif
2025-02-18T11:3,"org yg punya kesadaran baik kaya gini pada childfree. sdngkn remaja2 ceroboh di desa dan di kota besar celup sana sini dan kebobolan, anaknya ga pnya sosok ortu yg baik 😢",Negatif
2025-02-18T13:56:5,pemikiran kyak gini nih yg di sukai tuan maha besar rothschild,Positif
