createTimeISO;text;label
2025-11-30T12:01:44.000Z;YG GUE HERAN KO GUBERNUR NYA NGIJININ HUTAN NYA DI RUSAK;negatif
2025-12-01T00:05:15.000Z;kasus Segede ini beritanya dikalahin kasus Tumbler;negatif
2025-11-30T12:39:29.000Z;satu kata buat Zulkifli Hasan gak bisa kerja;negatif
2025-11-30T15:45:25.000Z;Pecat Zulkifli Hasan;negatif
2025-11-30T11:37:37.000Z;presiden tutup mata ya;negatif
2025-11-30T14:59:20.000Z;Hasil alamnya milik nasional, tapi status bencananya milik daerah. aneh bgt dah;negatif
2025-11-30T12:16:54.000Z;Mentri era Jokowi ngk ada yg benar;negatif
2025-11-30T14:31:08.000Z;plisss besok besok kalian rakyat Sumatra harus bersatu berani menolak keraas penebangan hutan.;negatif
2025-11-30T22:14:32.000Z;Fungsi DPR??? Plis fungsi DPR? Fungsi DPR?? Fungsi DPR ??? Plissssssss? Mentri kehutanan dan libgkungan hidup fungsinya apa???;negatif
2025-11-30T12:27:50.000Z;ayo pak presiden, ganti dan proses pejabat yg merugikan rakyat;negatif
2025-12-01T03:30:26.000Z;sekarang aku sudah paham...kenapa saudara kita di Aceh dulu...minta pisah dari negara kesatuan Republik Indonesia 🙏🙏😭😭;negatif
2026-01-13T07:38:08.000Z;Melihat TNI bahu-membahu dengan warga membersihkan lumpur di Dayah Mudi memberikan rasa optimis bahwa kita tidak sendirian dalam menghadapi ujian ini.;positif
2026-01-19T09:09:13.000Z;Fokus pemerintah dalam mempercepat pembukaan kembali jalur darat antara Desa Tanjung Gelumpang dan Desa Sekumur adalah kebijakan yang sangat tepat sasaran. Dengan pulihnya akses jalan, bantuan medis dari Dinas Kesehatan bisa segera menjangkau warga yang mungkin mulai terserang penyakit pascabanjir, sehingga risiko kesehatan dapat diminimalisir sedini mungkin.;positif
2025-12-01T02:05:22.000Z;ayo kita viralkan di Internasional;negatif
2025-11-30T11:54:06.000Z;sumatera harus bangkit dan juga bertindak tegas.........;positif
2025-11-30T14:31:02.000Z;@Incu Superman:sekarang ngerti kan kenapa KDM sangat gencar nutup tambang2;positif
2025-11-30T12:03:56.000Z;smoga Alloh mengadzab pejabat yg dzolim kpd rakyat;negatif
2025-12-01T03:58:05.000Z;hidup cuma sekali, kita malah jdi wni;negatif
2025-12-01T06:42:33.000Z;di korut aja banjir sedikit bisa bikin puluhan pemerintahan di pengal, cuma di indo aja yang bikin 1 pulau nyaris tengelam malah di lindungi;negatif
2025-12-01T10:54:38.000Z;GUBERNUR, MENTRI, n PRESIDEN yg BERTANGGUNG JAWAB..;negatif
2025-12-01T10:33:13.000Z;benci bgt sama pemerintahan di negara ini 🥲;negatif
2025-12-02T03:42:57.000Z;pemerintah yg membuat banjir;negatif
2025-12-01T06:16:28.000Z;kami dari Sumsel turut berduka cita atas kejadian yg berada di Sumbar Sumut dan aceh🙏🥹;positif
2025-11-30T17:04:18.000Z;BIAR KALIAN TAUUU. BANYAK BANGET KORBAN JIWANYA ITU IBU DAN BAYI! BAYANGKAN BAGAIMANA NGERINYA BAYI ITU BERHADAPAN DENGAN KAYU GELONDONGAN DAN LUMPUR² ITU🥺🥺🥺🥺🥺;negatif
2025-11-30T15:16:24.000Z;Gua orang jawa yang baru pindah ke berau kaltim dan melihat begitu banyak tambang ilegal, hutan di keruk tiap harinya, tapi pemerintah diam aja.. ternyata sebegini parahnya ya hutan” di Indonesia yang udah dirusak sama pejabat rakus 🥲 miris banget sama Indonesia dan muak banget sama pejabat yang rakus itu.;negatif
2025-12-15T11:59:17.000Z;Takut ketahuan sawitnya🤣;negatif
2025-12-15T11:56:25.000Z;1 periode selesai;negatif
2025-12-15T12:44:19.000Z;bukan pilihan saya;negatif
2025-12-15T12:22:39.000Z;Dendam banget gw ama yg milih dia 😏;negatif
2025-12-15T12:26:17.000Z;terkendali katamu?;negatif
2025-12-16T01:22:24.000Z;kumpul sini yang tidak milih dia dan wakilnya;negatif
2025-12-15T13:02:01.000Z;yg terkendali sebelah mana pak?;negatif
2025-12-15T12:23:30.000Z;tor monitor.....2 Minggu akses jalan Masi tetertup.... orang Masi jalan kaki , distribusi makanan terhambur;negatif
2025-12-15T12:34:18.000Z;tidak pernah semuak ini😏;negatif
2026-01-03T04:27:03.000Z;mampu...mampu😂;negatif
2025-12-15T15:38:20.000Z;negara yang kaya dari hasil alam nya, tapi utang dari luar d terima, bantuan dari luar di tolak. kalau terima pun di kenai pajak😂😂;negatif
2025-12-15T20:40:46.000Z;kami di Sumatra udah bener memilih pemimpin. tapi suara kami kalah sama org² Jawa yg memilih sekali makan gratis, sekarang hidup masyarakat harus berperang dengan pemerintah sendiri;negatif
2025-12-16T22:04:14.000Z;untung ngak pilih dia......;negatif
